=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.02.06 11:10:32 =~=~=~=~=~=~=~=~=~=~=~=
-31.880, -2.310, -0.010,  0.120, -0.430,  9.930 
-31.910, -2.350, -0.010,  0.040, -0.510, 10.120 
-31.930, -2.370,  0.000,  0.040, -0.550, 10.120 
-31.960, -2.370,  0.010, -0.040, -0.510, 10.170 
-31.980, -2.340,  0.020, -0.120, -0.630,  9.960 
-31.990, -2.300,  0.020, -0.200, -0.430, 10.000 
-32.000, -2.260,  0.020, -0.120, -0.390,  9.930 
-31.990, -2.240,  0.000,  0.000, -0.390,  9.780 
-31.990, -2.220, -0.020,  0.160, -0.350,  9.810 
-31.990, -2.210, -0.030,  0.160, -0.280,  9.930 
-32.010, -2.220, -0.040,  0.200, -0.350,  9.970 
-32.030, -2.230, -0.030,  0.120, -0.430, 10.010 
-32.050, -2.240, -0.010,  0.040, -0.470, 10.050 
-32.080, -2.230,  0.010,  0.000, -0.430, 10.080 
-32.110, -2.200,  0.050,  0.000, -0.470, 10.050 
-32.130, -2.170,  0.070, -0.040, -0.470, 10.000 
-32.140, -2.140,  0.090, -0.080, -0.470,  9.960 
-32.150, -2.110,  0.110, -0.080, -0.470,  9.930 
-32.140, -2.090,  0.120, -0.120, -0.470,  9.890 
-32.140, -2.080,  0.110, -0.160, -0.510,  9.930 
-32.140, -2.080,  0.100, -0.160, -0.510,  9.930 
-32.140, -2.080,  0.090, -0.160, -0.510,  9.930 
-32.150, -2.070,  0.080, -0.160, -0.510,  9.890 
-32.150, -2.040,  0.080, -0.160, -0.470,  9.850 
-32.150, -2.020,  0.090, -0.160, -0.470,  9.740 
-32.150, -2.000,  0.110, -0.160, -0.470,  9.700 
-32.140, -1.980,  0.140, -0.280, -0.470,  9.660 
-32.150, -1.980,  0.170, -0.160, -0.390,  9.700 
-32.160, -1.970,  0.210, -0.040, -0.350,  9.700 
-32.190, -1.970,  0.240,  0.080, -0.390,  9.700 
-32.230, -1.970,  0.280,  0.080, -0.350,  9.780 
-32.280, -1.970,  0.330,  0.040, -0.390,  9.810 
-32.320, -1.980,  0.370,  0.040, -0.390,  9.810 
-32.350, -2.010,  0.420,  0.040, -0.430,  9.850 
-32.370, -2.040,  0.460,  0.040, -0.510,  9.890 
-32.370, -2.080,  0.490, -0.040, -0.550,  9.960 
-32.350, -2.110,  0.520, -0.080, -0.590,  9.930 
-32.330, -2.120,  0.540, -0.120, -0.590,  9.930 
-32.300, -2.120,  0.560, -0.160, -0.590,  9.930 
-32.270, -2.100,  0.580, -0.120, -0.510,  9.850 
-32.230, -2.080,  0.600, -0.120, -0.430,  9.810 
-32.190, -2.070,  0.630, -0.040, -0.280,  9.660 
-32.140, -2.060,  0.650, -0.080, -0.280,  9.610 
-32.090, -2.050,  0.670, -0.120, -0.200,  9.650 
-32.050, -2.060,  0.690, -0.120, -0.240,  9.690 
-32.010, -2.080,  0.710, -0.160, -0.240,  9.730 
-31.990, -2.100,  0.740, -0.120, -0.280,  9.850 
-31.990, -2.110,  0.770, -0.160, -0.280,  9.890 
-31.990, -2.110,  0.810, -0.160, -0.280,  9.930 
-31.980, -2.100,  0.860, -0.200, -0.240,  9.930 
-31.970, -2.080,  0.900, -0.280, -0.240,  9.930 
-31.950, -2.060,  0.940, -0.280, -0.280,  9.890 
-31.910, -2.050,  0.970, -0.350, -0.240,  9.850 
-31.880, -2.040,  0.990, -0.310, -0.240,  9.810 
-31.860, -2.040,  0.990, -0.240, -0.200,  9.850 
-31.850, -2.040,  0.980, -0.160, -0.240,  9.850 
-31.850, -2.050,  0.970, -0.160, -0.240,  9.850 
-31.870, -2.060,  0.950, -0.120, -0.240,  9.850 
-31.890, -2.070,  0.940, -0.080, -0.310,  9.850 
-31.910, -2.080,  0.940, -0.040, -0.310,  9.970 
-31.930, -2.080,  0.950, -0.080, -0.350,  9.930 
-31.930, -2.070,  0.970, -0.080, -0.350,  9.960 
-31.930, -2.040,  0.990, -0.120, -0.390,  9.960 
-31.930, -1.990,  1.010, -0.200, -0.390,  9.930 
-31.910, -1.940,  1.030, -0.200, -0.390,  9.890 
-31.900, -1.900,  1.040, -0.240, -0.350,  9.850 
-31.880, -1.870,  1.040, -0.240, -0.280,  9.730 
-31.870, -1.840,  1.020, -0.200, -0.240,  9.740 
-31.860, -1.830,  1.000, -0.160, -0.240,  9.730 
-31.850, -1.830,  0.980, -0.120, -0.280,  9.740 
-31.850, -1.830,  0.960, -0.080, -0.280,  9.740 
-31.860, -1.830,  0.940, -0.080, -0.280,  9.780 
-31.880, -1.820,  0.940, -0.120, -0.280,  9.780 
-31.890, -1.800,  0.950, -0.160, -0.310,  9.730 
-31.900, -1.770,  0.960, -0.160, -0.310,  9.730 
-31.910, -1.740,  0.980, -0.160, -0.280,  9.700 
-31.910, -1.710,  0.990, -0.160, -0.280,  9.660 
-31.920, -1.700,  1.000, -0.080, -0.280,  9.610 
-31.920, -1.700,  0.990, -0.040, -0.280,  9.700 
-31.940, -1.710,  0.980, -0.040, -0.310,  9.690 
-31.960, -1.740,  0.970, -0.080, -0.310,  9.810 
-31.980, -1.780,  0.960, -0.080, -0.350,  9.890 
-31.990, -1.810,  0.950, -0.080, -0.430,  9.890 
-32.000, -1.810,  0.950, -0.080, -0.430,  9.890 
-32.000, -1.800,  0.950, -0.160, -0.430,  9.850 
-31.980, -1.780,  0.960, -0.200, -0.430,  9.810 
-31.970, -1.760,  0.970, -0.160, -0.390,  9.780 
-31.950, -1.750,  0.980, -0.160, -0.350,  9.700 
-31.930, -1.740,  0.980, -0.160, -0.350,  9.610 
-31.910, -1.750,  0.970, -0.200, -0.350,  9.690 
-31.890, -1.770,  0.970, -0.200, -0.310,  9.700 
-31.880, -1.790,  0.960, -0.160, -0.310,  9.690 
-31.860, -1.800,  0.960, -0.160, -0.310,  9.730 
-31.850, -1.810,  0.970, -0.200, -0.280,  9.730 
-31.830, -1.820,  0.980, -0.160, -0.280,  9.740 
-31.810, -1.830,  1.000, -0.160, -0.240,  9.770 
-31.790, -1.840,  1.020, -0.160, -0.240,  9.730 
-31.780, -1.840,  1.050, -0.200, -0.240,  9.740 
-31.770, -1.850,  1.070, -0.200, -0.280,  9.770 
-31.770, -1.860,  1.100, -0.200, -0.280,  9.770 
-31.780, -1.880,  1.120, -0.160, -0.310,  9.810 
-31.790, -1.900,  1.150, -0.120, -0.310,  9.850 
-31.810, -1.920,  1.170, -0.160, -0.350,  9.850 
-31.820, -1.940,  1.200, -0.240, -0.350,  9.930 
-31.830, -1.950,  1.220, -0.280, -0.390,  9.960 
-31.830, -1.960,  1.250, -0.280, -0.430,  9.970 
-31.820, -1.960,  1.270, -0.280, -0.430,  9.970 
-31.810, -1.950,  1.290, -0.280, -0.430,  9.970 
-31.800, -1.940,  1.310, -0.280, -0.390,  9.930 
-31.800, -1.920,  1.310, -0.240, -0.310,  9.780 
-31.800, -1.910,  1.300, -0.240, -0.310,  9.740 
-31.790, -1.900,  1.280, -0.240, -0.310,  9.700 
-31.790, -1.900,  1.250, -0.120, -0.310,  9.620 
-31.780, -1.910,  1.230, -0.120, -0.310,  9.570 
-31.770, -1.930,  1.210, -0.080, -0.310,  9.530 
-31.760, -1.970,  1.190, -0.080, -0.350,  9.660 
-31.750, -2.010,  1.190, -0.080, -0.390,  9.810 
-31.740, -2.040,  1.200, -0.120, -0.470,  9.890 
-31.740, -2.060,  1.230, -0.160, -0.470,  9.930 
-31.750, -2.050,  1.270, -0.160, -0.470,  9.960 
-31.750, -2.030,  1.320, -0.240, -0.390,  9.970 
-31.740, -2.000,  1.380, -0.280, -0.350,  9.890 
-31.720, -1.970,  1.420, -0.310, -0.310,  9.810 
-31.700, -1.960,  1.450, -0.350, -0.310,  9.810 
-31.660, -1.970,  1.470, -0.390, -0.310,  9.810 
-31.620, -1.990,  1.470, -0.390, -0.310,  9.810 
-31.580, -2.020,  1.470, -0.390, -0.350,  9.850 
-31.540, -2.050,  1.460, -0.350, -0.390,  9.850 
-31.500, -2.060,  1.460, -0.310, -0.350,  9.810 
-31.470, -2.060,  1.470, -0.310, -0.310,  9.810 
-31.440, -2.060,  1.480, -0.310, -0.280,  9.770 
-31.410, -2.060,  1.510, -0.350, -0.240,  9.770 
-31.400, -2.080,  1.530, -0.350, -0.240,  9.770 
-31.390, -2.100,  1.560, -0.350, -0.240,  9.810 
-31.390, -2.130,  1.590, -0.350, -0.280,  9.810 
-31.410, -2.150,  1.610, -0.310, -0.280,  9.890 
-31.420, -2.160,  1.630, -0.310, -0.350,  9.930 
-31.430, -2.170,  1.650, -0.350, -0.390,  9.890 
-31.430, -2.170,  1.670, -0.350, -0.390,  9.890 
-31.410, -2.170,  1.680, -0.350, -0.390,  9.850 
-31.380, -2.170,  1.680, -0.350, -0.390,  9.810 
-31.340, -2.170,  1.680, -0.430, -0.390,  9.770 
-31.300, -2.180,  1.660, -0.310, -0.430,  9.810 
-31.280, -2.190,  1.640, -0.280, -0.350,  9.810 
-31.260, -2.200,  1.630, -0.240, -0.390,  9.810 
-31.260, -2.200,  1.610, -0.280, -0.350,  9.780 
-31.260, -2.190,  1.610, -0.280, -0.390,  9.780 
-31.260, -2.180,  1.600, -0.310, -0.350,  9.730 
-31.250, -2.180,  1.610, -0.310, -0.310,  9.700 
-31.230, -2.190,  1.610, -0.280, -0.310,  9.770 
